Circoscrizione Name,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Other,Total
S.GIUSEPPE-S.CHIARA,2.7447089947089944,13.392857142857142,4.067460317460317,1.0251322751322751,1.7526455026455026,77.01719576719577,100.0
CENTRO STORICO PIEDICASTELLO,8.16464237516869,3.070175438596491,5.364372469635628,1.8556005398110662,6.477732793522267,75.06747638326586,100.0
OLTREFERSINA,12.653061224489795,1.261595547309833,4.675324675324675,4.304267161410018,1.150278293135436,75.95547309833024,100.0
GARDOLO,12.780133252574197,0.24227740763173833,3.210175651120533,13.08298001211387,10.236220472440944,60.448213204118716,100.0
ARGENTARIO,13.43612334801762,1.9823788546255507,3.9647577092511015,1.1013215859030838,2.643171806167401,76.87224669603523,100.0
VILLAZZANO,4.567307692307692,0.0,7.9326923076923075,8.413461538461538,0.7211538461538461,78.36538461538461,100.0
RAVINA-ROMAGNANO,4.702194357366771,0.9404388714733543,1.5673981191222568,10.658307210031348,7.210031347962382,74.92163009404389,100.0
BONDONE,0.3424657534246575,7.191780821917808,1.0273972602739725,3.0821917808219177,0.684931506849315,87.67123287671232,100.0
MATTARELLO,9.469696969696969,0.3787878787878788,4.924242424242424,2.272727272727273,2.272727272727273,80.68181818181817,100.0
MEANO,4.368932038834951,0.0,0.9708737864077669,0.48543689320388345,4.368932038834951,89.80582524271846,100.0
POVO,11.11111111111111,6.878306878306878,0.5291005291005291,0.5291005291005291,1.0582010582010581,79.8941798941799,100.0
SARDAGNA,0.0,0.0,0.0,0.0,0.0,100.0,100.0
